ROI,X,Y,T,Contour,Max. Feret diam.,Elongation ratio,Avg. ch 0
22188,510,556,137,3.1415926536,0,0,81
22189,656.4848484848,559.2727272727,137,21.0850288425,6.4031242374,1.1938494816,65.4242424242
22190,570.5833333333,538.25,137,12.3423881554,3.6055512755,1.313230406,74.5
22191,296.125,538.125,137,8.8710678119,2.8284271247,1.209896735,64.25
22192,607.8333333333,531.5277777778,137,20.5708152802,7.2111025509,1.3331637121,60.6666666667
22193,440.8333333333,527.4545454545,137,28.927416998,9.4868329805,1.2728972088,86.4242424242
22194,437.3157894737,553.1578947368,137,15.2994949366,5.0990195136,1.5763437255,59.6315789474
22195,246.1904761905,544.9523809524,137,15.5566017178,5,1.1947795401,51.7142857143
22196,493.3333333333,542.3333333333,137,6.0426406871,1.4142135624,0,78.6666666667
22197,645.1886792453,544.7547169811,137,31.4987373415,12.0415945788,2.2767357292,55.6226415094
22198,535.4285714286,511.1904761905,137,15.9423881554,5.3851648071,1.6834909662,79.5238095238
22199,490.4153846154,509.3230769231,137,29.9560966544,10.4403065089,1.5033208647,99.0307692308
22200,518.9387755102,508.7551020408,137,25.5847763109,8.2462112512,1.3168300364,81.4897959184
22201,220,503,137,3.1415926536,0,0,61
22202,279.5714285714,523.2142857143,137,18.6421356237,5.8309518948,1.1230598422,54.9285714286
22203,632.2857142857,517.4285714286,137,9.2568542495,3.1622776602,93897293.2109675,57.5714285714
22204,643,515.5,137,5.1415926536,1,0,59.5
22205,478.5538461538,518.4,137,28.4134559673,10.8166538264,1.5635636922,92.9230769231
22206,338.6666666667,495.1111111111,137,15.813708499,5,1.3189463262,70.2222222222
22207,182.1428571429,497.3928571429,137,19.6705627485,6.0827625303,1.181724743,65.25
22208,620.8421052632,490.5789473684,137,19.0279220614,7.6157731059,3.1759809591,63.8947368421
22209,207.2,493.4,137,7.4568542495,2.2360679775,3.5238551667,59
22210,584.84375,500.625,137,19.1563491861,6.3245553203,1.2168558128,71.90625
22211,477.6666666667,502.25,137,12.3423881554,3.6055512755,1.107522137,80.3333333333
22212,800.6153846154,497.6153846154,137,11.6994949366,3.6055512755,1.1951767897,48.6923076923
22213,443.6585365854,501.756097561,137,29.4416305603,10.295630141,2.7107083969,76.6829268293
22214,798.0666666667,480.7666666667,137,20.6992424049,6.7082039325,1.4208263179,54.5666666667
22215,849.9545454545,481.9090909091,137,15.9423881554,5.6568542495,1.2857745761,57.7272727273
22216,390.2352941176,471.5294117647,137,15.813708499,5.0990195136,1.7426819975,74.1764705882
22217,645.36,478.9866666667,137,34.7126983722,12.5299640861,2.0661591917,63.2
22218,856.5,485.5,137,5.6568542495,1.4142135624,0,68.25
22219,480.3846153846,490.6153846154,137,11.6994949366,3.6055512755,1.1951767897,73.6923076923
22220,499.3703703704,484.1851851852,137,20.5705627485,6.7082039325,1.7288359234,72.4814814815
22221,404.9487179487,487.2820512821,137,21.8563491861,6.7082039325,1.0862117822,84.8974358974
22222,222.3333333333,464.2666666667,137,13.4994949366,4.1231056256,1.2722483418,62.8666666667
22223,529.7419354839,460.7419354839,137,20.4421356237,6.3245553203,1.3026804593,72.064516129
22224,825.88,467.56,137,18.3850288425,6.4031242374,1.6940412468,57.32
22225,310.25,466,137,7.8426406871,2,0,67.5
22226,247.1176470588,472.8235294118,137,29.441883092,11.401754251,2.3792670954,60.4705882353
22227,369.3333333333,468.8333333333,137,19.9279220614,6.3245553203,1.543221761,75.5416666667
22228,481.6086956522,468.9130434783,137,16.3279220614,5.8309518948,1.5395743112,77.8260869565
22229,349.5,468,137,7.4568542495,2.2360679775,0,67.5
22230,614,451.3913043478,137,16.9708152802,6.4031242374,1.636610235,61.5652173913
22231,400.2790697674,450.5348837209,137,22.113708499,8.0622577483,1.4269747268,87.9534883721
22232,487.1666666667,453.1666666667,137,8.8710678119,2.2360679775,1.7320508076,73.8333333333
22233,220.1333333333,451.4666666667,137,13.7566017178,4.1231056256,1.2395631476,56
22234,859.6666666667,455.3333333333,137,6.0426406871,1.4142135624,0,61.3333333333
22235,837.3666666667,456.3666666667,137,18.1279220614,5.8309518948,1.1143933473,60.2333333333
22236,203.5,460,137,13.113708499,4.1231056256,1.8353763408,57.0833333333
22237,584,461.0243902439,137,27.641883092,9.0553851381,1.5544444852,70
22238,620.5,422.5,137,5.6568542495,1.4142135624,0,65
22239,555.5,423.5,137,9.2568542495,3.1622776602,0,66.125
22240,575.5,427,137,10.2852813742,3.6055512755,1.6847456358,64.7
22241,427.4074074074,433.0740740741,137,17.0994949366,5.8309518948,1.2694559529,90
22242,754,433,137,3.1415926536,0,0,44
22243,536.5652173913,441.7391304348,137,18.8992424049,5.3851648071,1.2092060278,71.8260869565
22244,587.6666666667,443.6666666667,137,6.0426406871,1.4142135624,0,63
22245,452.1641791045,447.8656716418,137,29.827416998,9.8488578018,1.2325001783,90.0597014925
22246,518.8055555556,414.8333333333,137,41.9126983722,14.7648230602,1.8056214281,98.1018518519
22247,585.6363636364,409.9090909091,137,10.6710678119,3.6055512755,1.5590873763,67.8181818182
22248,330.7647058824,412.5294117647,137,15.813708499,5.3851648071,1.7824320701,73.5294117647
22249,374.1176470588,413.1764705882,137,16.1994949366,5.0990195136,1.6835495058,76.8235294118
22250,276.1111111111,414.3333333333,137,10.2852813742,3.1622776602,1.5572201791,56.7777777778
22251,291.5,416.5,137,5.6568542495,1.4142135624,0,58
22252,423.1785714286,422.6071428571,137,19.0279220614,5.8309518948,1.1408702336,92.1071428571
22253,502.4444444444,422.1111111111,137,10.5423881554,3.6055512755,1.9434038957,71.6666666667
22254,575.28125,383.34375,137,20.0563491861,6.3245553203,1.2263455267,56.625
22255,600.7272727273,385.8909090909,137,26.0989898732,8.2462112512,1.1673345636,68.7454545455
22256,865.5925925926,378.9259259259,137,17.0994949366,5.8309518948,1.2694559529,57.3703703704
22257,908.1,384.66,137,31.8845237792,11.7046999107,2.0728259448,59.72
22258,397.0555555556,375.7777777778,137,14.7850288425,4.472135955,1.1045354189,73.2222222222
22259,478.6875,379.75,137,25.4563491861,9.8488578018,1.8601863742,86.2291666667
22260,638.5517241379,366.4137931034,137,18.3850288425,5.8309518948,1.1877342287,46.9310344828
22261,698.0909090909,370.3636363636,137,10.6710678119,3.6055512755,1.5590873763,44.5454545455
22262,247.9387755102,398.5714285714,137,23.5279220614,8.602325267,1.2869775203,64.4693877551
22263,475.0833333333,405.1666666667,137,12.0852813742,4.1231056256,1.9573683597,80.8333333333
22264,507.5483870968,395.5806451613,137,18.7708152802,5.8309518948,1.0567524165,71.7419354839
22265,726.3333333333,394.6666666667,137,6.0426406871,1.4142135624,0,44.3333333333
22266,423.2695035461,401.5886524823,137,70.3266594029,30.1496268634,5.2890271658,94.6595744681
22267,845.2,391.4,137,7.4568542495,2.2360679775,1.7067237255,55.6
22268,813,383.75,137,7.8426406871,2,0,44.25
22269,317.875,386.84375,137,20.0563491861,6.3245553203,1.2155998999,75.40625
22270,867.7575757576,351.9696969697,137,24.1705627485,9.4339811321,2.1078442367,54.6363636364
22271,528.98,352.92,137,24.4276695297,8.2462112512,1.2639169834,60.7
22272,681.5,348,137,5.1415926536,1,0,41.5
22273,797.1724137931,347.1034482759,137,18.1279220614,6.3245553203,1.478689055,56.2413793103
22274,607.8653846154,348.4615384615,137,25.841883092,9.4339811321,1.6687505334,56.4807692308
22275,349.5,338.6956521739,137,23.1421356237,8.2462112512,1.5532093327,75.7391304348
22276,303.3142857143,337.2285714286,137,20.8279220614,6.7082039325,1.1538398814,61.2285714286
22277,554,331,137,3.1415926536,0,0,45
22278,576.5384615385,365.8461538462,137,12.7281745931,3.6055512755,1.1067104459,55.3076923077
22279,315.3333333333,364.3333333333,137,6.0426406871,1.4142135624,0,64
22280,450.9117647059,366,137,20.8276695297,7.2111025509,1.666807525,72.4411764706
22281,406.4090909091,362.5909090909,137,18.2563491861,7.0710678119,2.3132540209,76.6818181818
22282,746.3,360.3,137,11.6994949366,3.1622776602,1.3695880571,55.2
22283,588.9777777778,358.4222222222,137,23.9134559673,8.0622577483,1.3757846228,60.9777777778
22284,843.6,354.2,137,7.4568542495,2.2360679775,1.6287424582,54.2
22285,398.9285714286,354.4285714286,137,20.4421356237,7.2111025509,1.6416206228,78.1428571429
22286,602.0303030303,292.4242424242,137,19.7992424049,6.7082039325,1.3946096215,49.4242424242
22287,579.6617647059,317.2794117647,137,28.6705627485,9.4868329805,1.264460705,62.0735294118
22288,652.4,321.4,137,22.141611607,8.0622577483,2.6136285929,49.8
22289,592.9,329.4833333333,137,26.8705627485,8.94427191,1.1781270954,53.6666666667
22290,265.6666666667,328.6666666667,137,6.0426406871,1.4142135624,0,44
22291,672,294.5,137,11.0568542495,3.6055512755,1.5650845801,44.75
22292,640.675,305.225,137,21.9850288425,7.2801098893,1.3490919983,49.35
22293,607.5,311,137,10.2852813742,3.6055512755,1.6847456358,45.2
22294,740.2777777778,314.1111111111,137,15.1708152802,4.472135955,1.100885631,55.3888888889
22295,681.5833333333,796.05,138,33.9697862,13.0384048104,2.0885393771,60.9666666667
22296,681.6,770.4,138,12.4710678119,4.2426406871,1.1233108048,59.4
22297,692.5,763,138,13.8852813742,5,1.433293184,46.9444444444
22298,658.6923076923,717,138,12.4710678119,4.1231056256,1.9895009497,47
22299,453,705,138,15.6852813742,5.6568542495,1.202140587,50.8695652174
22300,469.0722891566,692.5542168675,138,31.8847763109,10.295630141,1.067600681,78.9879518072
22301,421.064516129,680.4193548387,138,19.4134559673,6.0827625303,1.161057895,73.2580645161
22302,321.0909090909,677.5151515152,138,19.7992424049,6.7082039325,1.3127810001,61.2727272727
22303,401.7777777778,675.3888888889,138,15.1708152802,5.3851648071,1.8651423578,57.9444444444
22304,652.8958333333,663.6458333333,138,25.3276695297,8.94427191,1.5321531232,54.0833333333
22305,427.5555555556,662.1111111111,138,10.5423881554,3.6055512755,1.9434038957,62
22306,394.75,659,138,7.8426406871,2,0,54
